,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
15,6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.0,0.5,4,11,8000.0,1993.439277,2109.90649,0.0,12,3
21,6369.531318,1.0,6359.95,5910.04,449.91,229.028245,0.916667,1.0,6,92,11250.0,2077.959051,1659.775075,0.0,12,3
23,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,0.083333,0.916667,13,13,9000.0,9479.043842,1425.426525,0.0,12,3
26,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.0,5,2,1700.0,890.178845,971.183209,0.0,12,3
28,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.166667,0.416667,16,8,10500.0,1601.448347,1648.851345,0.0,12,3
30,12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,0.166667,1.0,10,64,13000.0,4230.323491,3292.01503,0.0,12,3
31,1162.273324,1.0,1347.71,400.0,947.71,175.815755,0.083333,1.0,2,45,6000.0,645.998299,256.848991,0.0,12,3
32,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.0,3,3,10500.0,1720.118876,2506.745366,0.0,12,3
37,4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.5,0.75,7,41,5000.0,1617.894416,1541.141605,0.0,12,3
38,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.0,12,2,9000.0,1237.111661,2049.408839,0.0,12,3
39,1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.0,6,6,7500.0,20071.07544,719.948985,0.333333,12,3
41,784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.416667,0.333333,11,27,3000.0,1262.309666,363.142736,0.111111,12,3
46,474.447149,0.5,109.74,0.0,109.74,1013.659552,0.0,0.25,1,3,1700.0,176.013005,147.199792,0.0,8,3
49,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.0,2,3,4000.0,587.866451,286.448719,0.083333,12,3
50,4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.375,0.25,37,9,12000.0,8113.297346,1012.415961,0.0,8,3
53,464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.0,1,11,3000.0,3110.052742,132.446091,0.2,9,3
59,5493.90406,1.0,229.0,0.0,229.0,970.591332,0.0,0.333333,4,6,6000.0,2110.557023,1895.02617,0.0,12,3
64,1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,0.0,1.0,4,61,1850.0,3688.045998,3266.996777,0.083333,12,3
70,5487.683724,1.0,419.1,0.0,419.1,625.399386,0.0,0.833333,4,11,6250.0,1288.214909,2180.881868,0.0,12,3
71,2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.5,0.583333,27,33,7000.0,28232.69446,1107.030803,0.454545,12,3
79,6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.0,7,7,7000.0,1624.583114,2503.40234,0.0,12,3
84,1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,0.333333,1,50,9000.0,4921.066897,594.756686,0.0,12,3
86,7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,0.833333,1.0,23,23,11000.0,4589.873897,1876.262988,0.0,12,3
87,8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,0.75,1.0,21,60,13500.0,3021.575846,2074.581541,0.0,12,3
90,9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,0.25,0.916667,1,46,9000.0,6409.496345,9827.045323,0.0,12,3
91,1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.090909,0.818182,21,17,4000.0,3056.424974,910.707525,0.090909,11,3
105,2441.542991,1.0,808.0,808.0,0.0,959.857263,0.25,0.0,6,4,4000.0,532.741699,1026.976,0.0,12,3
108,1246.624558,1.0,423.7,177.64,246.06,412.399058,0.166667,0.5,2,10,2000.0,577.050373,498.365419,0.0,12,3
109,6644.201651,1.0,4478.75,2721.59,1757.16,7205.520805,0.916667,1.0,21,64,9000.0,10857.94321,2469.571326,0.083333,12,3
112,5322.994094,1.0,2812.2,857.12,1955.08,2510.352951,0.25,1.0,8,81,8500.0,1509.423237,1834.031569,0.0,12,3
120,8504.876253,1.0,6724.26,4100.08,2624.18,1686.599777,0.916667,1.0,10,85,17000.0,1888.756861,2167.446204,0.0,12,3
128,11167.23403,1.0,150.64,150.64,0.0,8362.154254,0.083333,0.0,14,1,17000.0,2606.059389,2894.077159,0.0,12,3
133,9354.06045,1.0,796.33,796.33,0.0,13748.47131,0.083333,0.0,16,1,13000.0,10664.65866,2600.875721,0.083333,12,3
137,706.132889,1.0,897.86,714.52,183.34,586.268966,0.333333,0.916667,3,18,1200.0,972.358048,184.524376,0.0,12,3
139,2235.103331,1.0,720.6,720.6,0.0,723.308724,1.0,0.0,1,12,2500.0,1061.292471,689.118919,0.0,12,3
149,906.573724,1.0,1039.2,80.0,959.2,103.102091,0.083333,0.833333,1,11,13500.0,1855.235407,468.196732,0.083333,12,3
150,7679.62904,1.0,4059.93,0.0,4059.93,555.469352,0.0,0.5,7,14,7000.0,3685.61062,12854.9397,0.0,12,3
153,13673.07961,1.0,9792.23,3959.81,5832.42,2444.445738,0.75,1.0,26,216,20000.0,11717.30794,6042.391629,0.0,12,3
167,595.677343,1.0,5078.14,4330.53,747.61,1424.442602,0.666667,0.75,1,42,15000.0,4756.654374,241.894073,0.916667,12,3
171,975.942008,1.0,10221.35,7141.38,3079.97,1620.685551,1.0,0.833333,18,130,10500.0,10693.49585,347.641073,0.75,12,3
174,11972.01104,1.0,5715.0,4685.54,1029.46,1626.351366,1.0,1.0,3,90,14000.0,4639.513745,3192.306018,0.0,12,3
182,2881.253586,1.0,117.0,0.0,117.0,17661.49486,0.0,0.166667,28,3,4500.0,17301.83238,931.618475,0.166667,12,3
186,1706.014379,1.0,147.78,0.0,147.78,1657.090283,0.0,0.166667,4,2,6000.0,1186.062765,374.595505,0.0,12,3
189,966.251742,1.0,311.45,311.45,0.0,955.959749,0.333333,0.0,1,15,1500.0,277.522439,286.299328,0.0,12,3
