,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
6,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,0,64,13500.0,6354.314328,198.065894,1.0,12,1
8,1014.926473,1.0,861.49,661.49,200.0,0.0,0.083333,0.25,0,5,7000.0,688.278568,311.963409,0.0,12,1
12,1516.92862,1.0,3217.99,2500.23,717.76,0.0,0.25,0.916667,0,26,3000.0,608.263689,490.207013,0.25,12,1
13,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.166667,0.75,0,26,7500.0,1655.891435,251.137986,0.083333,12,1
18,1989.072228,1.0,504.35,166.0,338.35,0.0,0.083333,0.583333,0,9,13000.0,1720.837373,744.613395,0.0,12,1
44,5315.945594,1.0,1525.44,469.8,1055.64,0.0,0.333333,1.0,0,20,8500.0,1430.341501,1318.71492,0.0,12,1
48,229.867179,1.0,2390.6,1402.93,987.67,0.0,0.666667,1.0,0,87,3300.0,2543.953559,175.657825,0.916667,12,1
51,1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.583333,0.5,0,18,2500.0,1399.82834,1322.446601,0.0,12,1
57,2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.5,0,42,7500.0,5678.729613,1311.514878,0.083333,12,1
65,1758.059987,1.0,412.33,325.21,87.12,0.0,0.333333,0.166667,0,11,1800.0,777.451648,897.905444,0.0,12,1
68,3990.523579,1.0,263.5,190.6,72.9,0.0,0.083333,0.583333,0,8,6000.0,6876.836205,1001.607366,0.083333,12,1
73,1808.972419,1.0,713.9,503.08,210.82,0.0,0.1,0.4,0,8,2250.0,889.017418,622.757696,0.0,10,1
74,532.334517,0.909091,791.94,516.64,275.3,0.0,0.090909,0.181818,0,7,6000.0,1305.177304,175.510344,0.0,11,1
75,5860.433624,1.0,561.87,249.5,312.37,0.0,0.166667,0.75,0,14,6000.0,1990.044998,2161.428274,0.0,12,1
102,3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.833333,0,75,5700.0,9172.788366,2103.796148,0.083333,12,1
110,156.216753,0.818182,1354.86,585.63,769.23,0.0,0.333333,0.833333,0,34,5500.0,858.976682,108.319927,0.0,12,1
114,175.341651,0.818182,1508.9,1252.36,256.54,0.0,0.416667,0.333333,0,14,5000.0,1884.227778,136.639824,1.0,12,1
115,680.195157,1.0,1045.57,667.95,377.62,0.0,0.583333,1.0,0,25,3000.0,552.432305,207.720441,0.0,12,1
127,4245.855092,1.0,1957.3,1077.3,880.0,0.0,0.166667,0.583333,0,19,5000.0,1004.35474,1086.428906,0.0,12,1
131,4637.848144,1.0,1271.12,351.54,919.58,0.0,0.25,0.833333,0,33,5000.0,1906.032044,3572.279251,0.0,12,1
135,1562.633343,1.0,1330.62,1169.63,160.99,0.0,0.166667,0.25,0,8,2000.0,1020.783647,709.610053,0.0,12,1
136,2494.868559,1.0,5491.79,1390.5,4101.29,0.0,0.5,1.0,0,52,17000.0,1015.311953,615.92402,0.0,12,1
138,19043.13856,1.0,22009.92,9449.07,12560.85,0.0,0.75,1.0,0,216,18000.0,23018.57583,18621.01331,0.0,12,1
