,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
0,40.900749,0.818182,95.4,0.0,95.4,0.0,0.0,0.083333,0,2,1000.0,201.802084,139.509787,0.0,12,4
5,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.0,0.583333,0,8,1800.0,1400.05777,2407.246035,0.0,12,4
7,1823.652743,1.0,436.2,0.0,436.2,0.0,0.0,1.0,0,12,2300.0,679.065082,532.03399,0.0,12,4
10,1293.124939,1.0,920.12,0.0,920.12,0.0,0.0,1.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,4
17,41.089489,0.454545,519.0,0.0,519.0,0.0,0.0,0.333333,0,8,2500.0,254.590662,73.203221,0.25,12,4
19,3577.970933,1.0,398.64,0.0,398.64,0.0,0.0,1.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,4
20,2016.684686,1.0,176.68,0.0,176.68,0.0,0.0,0.666667,0,8,2000.0,223.0686,13557.29726,0.0,12,4
22,132.34224,0.636364,815.9,0.0,815.9,0.0,0.0,1.0,0,17,1800.0,2359.629958,86.329554,0.0,12,4
25,169.781679,1.0,399.6,0.0,399.6,0.0,0.0,1.0,0,12,3000.0,215.306142,163.005536,0.0,12,4
27,125.694817,1.0,233.28,0.0,233.28,0.0,0.0,1.0,0,12,1000.0,207.773715,164.748819,0.0,12,4
29,22.06349,1.0,100.0,0.0,100.0,0.0,0.0,0.416667,0,5,6900.0,160.767773,159.684442,0.0,12,4
34,3517.101616,0.727273,547.28,0.0,547.28,0.0,0.0,1.0,0,14,11000.0,8735.607835,17862.55831,0.0,12,4
77,578.809679,1.0,320.0,0.0,320.0,0.0,0.0,0.666667,0,8,1500.0,1438.910569,190.186542,0.0,12,4
80,17.357563,0.909091,244.85,40.21,204.64,0.0,0.166667,0.583333,0,13,5000.0,357.802082,121.523416,0.181818,12,4
82,3.78631,0.636364,133.05,28.2,104.85,0.0,0.166667,0.25,0,5,12000.0,210.053432,99.533735,0.444444,12,4
83,42.46443,0.545455,396.0,0.0,396.0,0.0,0.0,0.416667,0,12,1200.0,725.606194,140.809454,1.0,12,4
98,4.708041,0.363636,79.0,0.0,79.0,0.0,0.0,0.166667,0,3,7000.0,217.820198,121.781205,1.0,12,4
101,23.394411,0.272727,1346.28,0.0,1346.28,0.0,0.0,1.0,0,12,2000.0,712.149153,54.79166,0.0,12,4
106,408.656365,1.0,941.64,0.0,941.64,0.0,0.0,1.0,0,12,2500.0,1097.78942,176.610605,0.083333,12,4
116,223.763616,0.636364,2309.78,0.0,2309.78,0.0,0.0,0.5,0,12,6500.0,1206.81188,99.372848,0.333333,12,4
118,54.933231,0.272727,495.0,0.0,495.0,0.0,0.0,0.166667,0,2,7000.0,1969.845566,147.049952,1.0,12,4
122,2114.158683,1.0,5580.85,0.0,5580.85,0.0,0.0,1.0,0,75,8500.0,3564.977774,630.00413,0.0,12,4
132,24.28497,0.636364,250.6,0.0,250.6,0.0,0.0,0.5,0,7,3000.0,319.762903,173.632006,0.0,12,4
134,231.108995,1.0,440.0,0.0,440.0,0.0,0.0,0.916667,0,22,4000.0,554.116542,185.091037,0.0,12,4
152,49.206256,1.0,870.24,0.0,870.24,0.0,0.0,1.0,0,24,8000.0,835.839952,193.011166,1.0,12,4
155,119.760904,0.363636,1859.34,0.0,1859.34,0.0,0.0,0.25,0,4,20000.0,3104.275623,288.903628,0.25,12,4
164,114.593817,1.0,469.98,0.0,469.98,0.0,0.0,0.833333,0,6,1000.0,367.109312,86.102479,0.5,6,4
166,823.103926,0.363636,131.64,0.0,131.64,0.0,0.0,1.0,0,12,8000.0,2916.071564,243.199498,0.0,12,4
168,1128.124563,1.0,924.6,0.0,924.6,0.0,0.0,1.0,0,12,1000.0,1202.711782,1747.037345,0.0,12,4
172,23.111088,0.363636,300.0,0.0,300.0,0.0,0.0,0.166667,0,3,12500.0,291.948834,43.452683,0.181818,12,4
179,36.236312,0.454545,256.11,0.0,256.11,0.0,0.0,0.416667,0,5,5300.0,831.375322,189.036967,0.166667,12,4
185,168.522709,0.818182,2009.05,0.0,2009.05,0.0,0.0,0.75,0,22,1200.0,2612.760497,197.638558,0.142857,12,4
193,5462.897068,1.0,1453.32,0.0,1453.32,0.0,0.0,0.5,0,18,16500.0,1382.269127,1755.253802,0.0,12,4
202,24.527253,0.909091,261.64,0.0,261.64,0.0,0.0,0.833333,0,10,4000.0,376.758504,169.78292,0.818182,12,4
205,2.67713,0.090909,43.39,0.0,43.39,0.0,0.0,0.083333,0,1,4000.0,130.107234,29.700051,0.090909,12,4
214,75.647479,0.727273,540.0,0.0,540.0,0.0,0.0,0.166667,0,3,4000.0,548.967281,48.659935,0.0,12,4
217,7.56809,0.545455,144.26,67.08,77.18,0.0,0.083333,0.166667,0,7,11500.0,134.710832,75.515008,0.111111,12,4
231,279.608696,1.0,3034.92,0.0,3034.92,0.0,0.0,1.0,0,12,2900.0,2928.909865,2733.317012,0.083333,12,4
238,48.898611,0.545455,247.09,0.0,247.09,182.357669,0.0,0.416667,3,7,5500.0,409.594792,69.921472,0.0,12,4
245,8.061012,0.363636,133.0,0.0,133.0,0.0,0.0,0.166667,0,3,3000.0,130.61272,41.436595,0.181818,12,4
