,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
1,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,4,0,7000.0,4103.032597,1072.340217,0.222222,12,0
14,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,1,0,3000.0,805.647974,989.962866,0.0,12,0
16,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,3,0,3000.0,391.974562,376.579631,0.0,8,0
24,5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,4,0,6000.0,1422.726707,1657.002877,0.0,11,0
35,1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,1,0,1800.0,351.500199,634.569311,0.0,12,0
36,7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,11,0,9000.0,1636.361601,1986.843608,0.0,11,0
40,663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,3,0,1800.0,3067.05783,283.333445,0.166667,12,0
43,1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,1,0,1500.0,378.294227,321.354137,0.0,12,0
52,1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,3,0,3500.0,691.825279,581.481917,0.0,12,0
58,3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,3,0,4000.0,764.938728,1600.212243,0.0,11,0
62,809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,7,0,4150.0,4372.148648,241.645387,0.090909,11,0
66,809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,1,0,1500.0,146.074769,179.412493,0.0,8,0
67,1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,6,0,2500.0,540.022225,352.883804,0.0,12,0
72,656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,3,0,7000.0,910.457985,140.983193,0.25,8,0
78,1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,1,0,1200.0,29.278671,8242.687678,0.0,12,0
81,81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,5,0,9500.0,116.569033,164.692136,0.0,12,0
