,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,KMC_clusters
0,3.735303702663308,0.818182,4.5685062016165,0.0,4.5685062016165,0.0,0.0,0.083333,0.0,1.0986122886681098,6.90875477931522,5.312230547798351,4.945277144710759,0.0,12,4
5,7.5015398929484585,1.0,7.1961470995031585,0.0,7.1961470995031585,0.0,0.0,0.583333,0.0,2.1972245773362196,7.496097345175956,7.244982780319138,7.786653975212626,0.0,12,4
7,7.509144970103254,1.0,6.080390756302384,0.0,6.080390756302384,0.0,0.0,1.0,0.0,2.5649493574615367,7.741099090035366,6.522188502413885,6.278585193239496,0.0,12,4
10,7.16559002295018,1.0,6.8255903209275,0.0,6.8255903209275,0.0,0.0,1.0,0.0,2.5649493574615367,7.0909098220799835,6.988690825187471,7.684185035477527,0.0,12,4
17,3.739798042057795,0.454545,6.253828811575473,0.0,6.253828811575473,0.0,0.0,0.333333,0.0,2.1972245773362196,7.824445930877619,5.543577188189688,4.306807558934665,0.25,12,4
19,8.182830589190715,1.0,5.990564141864818,0.0,5.990564141864818,0.0,0.0,1.0,0.0,2.5649493574615367,8.294299608857235,6.96127752820317,9.430804286668868,0.0,12,4
20,7.609705937961825,1.0,5.179984179586172,0.0,5.179984179586172,0.0,0.0,0.666667,0.0,2.1972245773362196,7.601402334583733,5.411952254970081,9.514753982813254,0.0,12,4
22,4.892919056208852,0.636364,6.705516688347823,0.0,6.705516688347823,0.0,0.0,1.0,0.0,2.8903717578961645,7.496097345175956,7.766683793755752,4.469688939347446,0.0,12,4
25,5.140386009793119,1.0,5.992963423231718,0.0,5.992963423231718,0.0,0.0,1.0,0.0,2.5649493574615367,8.006700845440367,5.3766947283025095,5.099900183352035,0.0,12,4
27,4.841781178834473,1.0,5.456516981221582,0.0,5.456516981221582,0.0,0.0,1.0,0.0,2.5649493574615367,6.90875477931522,5.341250962068848,5.110473503852051,0.0,12,4
29,3.1382508477086843,1.0,4.61512051684126,0.0,4.61512051684126,0.0,0.0,0.416667,0.0,1.791759469228055,8.839421607620602,5.086161806788292,5.079442454117678,0.0,12,4
34,8.16567680947387,0.727273,6.30678610536318,0.0,6.30678610536318,0.0,0.0,1.0,0.0,2.70805020110221,9.305741456739435,9.07527727374647,9.790518068068778,0.0,12,4
77,6.362699910035696,1.0,5.771441123130016,0.0,5.771441123130016,0.0,0.0,0.666667,0.0,2.1972245773362196,7.313886831633462,7.272336285780348,5.253249611110729,0.0,12,4
80,2.910041642177587,0.909091,5.504721593857949,3.718680945350726,5.326127067187304,0.0,0.166667,0.583333,0.0,2.6390573296152584,8.517393171418904,5.882770932843391,4.808302162738161,0.181818,12,4
82,1.5657597596409527,0.636364,4.898212864681969,3.374168709274236,4.662022997580874,0.0,0.166667,0.25,0.0,1.791759469228055,9.392745258631441,5.352111333645686,4.6104933428158,0.444444,12,4
83,3.7719429024452684,0.545455,5.983936280687191,0.0,5.983936280687191,0.0,0.0,0.416667,0.0,2.5649493574615367,7.0909098220799835,6.588384644386054,4.954484283243715,1.0,12,4
98,1.7418758824899843,0.363636,4.382026634673881,0.0,4.382026634673881,0.0,0.0,0.166667,0.0,1.3862943611198906,8.853808274977197,5.388250378901539,4.810403950253194,1.0,12,4
101,3.1943540486844593,0.272727,7.205843024147799,0.0,7.205843024147799,0.0,0.0,1.0,0.0,2.5649493574615367,7.601402334583733,6.5696905892803015,4.021624395851061,0.0,12,4
106,6.01531867412121,1.0,6.848684449405085,0.0,6.848684449405085,0.0,0.0,1.0,0.0,2.5649493574615367,7.824445930877619,7.001964325488924,5.179593541613167,0.083333,12,4
116,5.415049254386517,0.636364,7.745340408858405,0.0,7.745340408858405,0.0,0.0,0.5,0.0,2.5649493574615367,8.77971129020447,7.0965656378910005,4.6088917324356,0.333333,12,4
118,4.0241586758043235,0.272727,6.206575926724928,0.0,6.206575926724928,0.0,0.0,0.166667,0.0,1.0986122886681098,8.853808274977197,7.586217950962711,4.997549730332755,1.0,12,4
122,7.65688511608913,1.0,8.62727554164635,0.0,8.62727554164635,0.0,0.0,1.0,0.0,4.330733340286331,9.04793908261736,8.179193565649877,6.447312407686196,0.0,12,4
132,3.2302101480570484,0.636364,5.527840524826286,0.0,5.527840524826286,0.0,0.0,0.5,0.0,2.0794415416798357,8.006700845440367,5.7707022302782205,5.162680937030025,0.0,12,4
134,5.447207067376491,1.0,6.089044875446846,0.0,6.089044875446846,0.0,0.0,0.916667,0.0,3.1354942159291497,8.294299608857235,6.319178077288133,5.2262360002100205,0.0,12,4
152,3.916139640447012,1.0,6.769917484247027,0.0,6.769917484247027,0.0,0.0,1.0,0.0,3.2188758248682006,8.987321812850125,6.729632835956811,5.267915714108035,1.0,12,4
155,4.7938125907331095,0.363636,7.528514545701073,0.0,7.528514545701073,0.0,0.0,0.25,0.0,1.6094379124341003,9.90353755128617,8.0408577578998,5.66954855050953,0.25,12,4
164,4.750082468648672,1.0,6.154815630269835,0.0,6.154815630269835,0.0,0.0,0.833333,0.0,1.9459101490553132,6.90875477931522,5.908379937538513,4.467085344991896,0.5,6,4
166,6.714296645742944,0.363636,4.887638691386985,0.0,4.887638691386985,0.0,0.0,1.0,0.0,2.5649493574615367,8.987321812850125,7.978335502991533,5.497985505982435,0.0,12,4
168,7.029197888444581,1.0,6.830442175879467,0.0,6.830442175879467,0.0,0.0,1.0,0.0,2.5649493574615367,6.90875477931522,7.0931652134909795,7.466248920403741,0.0,12,4
172,3.182671817678435,0.363636,5.707110264748875,0.0,5.707110264748875,0.0,0.0,0.166667,0.0,1.3862943611198906,9.433563920090563,5.679997965781477,3.7944253200933304,0.181818,12,4
179,3.617284414207216,0.454545,5.549504008886889,0.0,5.549504008886889,0.0,0.0,0.416667,0.0,1.791759469228055,8.575650760987806,6.7242834472755835,5.2472186163934245,0.166667,12,4
185,5.132986894247648,0.818182,7.605914876365619,0.0,7.605914876365619,0.0,0.0,0.75,0.0,3.1354942159291497,7.0909098220799835,7.868545266803646,5.291486881809889,0.142857,12,4
193,8.605917562859421,1.0,7.282293716409806,0.0,7.282293716409806,0.0,0.0,0.5,0.0,2.9444389791664403,9.711176264112805,7.2322049092625935,7.47093829791957,0.0,12,4
202,3.2397466265609642,0.909091,5.570784273193337,0.0,5.570784273193337,0.0,0.0,0.833333,0.0,2.3978952727983707,8.294299608857235,5.934255113142999,5.1403932763541365,0.818182,12,4
205,1.302132556603058,0.090909,3.793014218845944,0.0,3.793014218845944,0.0,0.0,0.083333,0.0,0.6931471805599453,8.294299608857235,4.876015568499814,3.4242643158295567,0.090909,12,4
214,4.3392167150183,0.727273,6.293419278846481,0.0,6.293419278846481,0.0,0.0,0.166667,0.0,1.3862943611198906,8.294299608857235,6.309858787366061,3.9051984711786405,0.0,12,4
217,2.1480448372919594,0.545455,4.978525240178022,4.220683484265119,4.359013860364809,0.0,0.083333,0.166667,0.0,2.0794415416798357,9.350189267092581,4.9105263867944045,4.3374869045976565,0.111111,12,4
231,5.636961157922299,1.0,8.018269787707208,0.0,8.018269787707208,0.0,0.0,1.0,0.0,2.5649493574615367,7.972810784121404,7.982726938739294,7.913636962281107,0.083333,12,4
238,3.909993166698711,0.545455,5.51379158355734,0.0,5.51379158355734,5.211438720749233,0.0,0.416667,1.3862943611198906,2.0794415416798357,8.612685172875459,6.017606820627139,4.2615732367717705,0.0,12,4
245,2.2039808135961816,0.363636,4.897839799950911,0.0,4.897839799950911,0.0,0.0,0.166667,0.0,1.3862943611198906,8.006700845440367,4.879863670755229,3.7480110796128785,0.181818,12,4
